Year, TreeDensity, Heigh, DBH, BA, MassW, MassW_ag, MassG, Litter, SOM, GPP, NPP , NEE, LAImax_W, LAImax_G, LAImean_W, LAImean_G, ccon, RO, Biome, ALD, ALD_DOY, Min_20yrMaxsnow, Max_snow
 102,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.8,  11.6,  73.8, 75.1, 10.7,   6.5,  0.9,  0.0,  3.5,  0.0,  3.0,  0.437, 855.1, 11, 20,365,  31207.22,  38338.89
 103,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.7,  11.5,  74.2, 75.6, 10.6,   6.4,  0.8,  0.0,  3.5,  0.0,  3.1,  0.300, 821.2, 11, 20,365,  31582.99,  38715.09
 104,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.6,  11.5,  74.5, 76.1, 10.5,   6.4,  0.8,  0.0,  3.5,  0.0,  3.0,  0.246, 840.8, 11, 20,365,  32038.07,  39170.50
 105,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.5,  11.4,  74.8, 76.6, 10.6,   6.4,  0.7,  0.0,  3.5,  0.0,  3.0,  0.438,1015.0, 11, 20,365,  32505.74,  39638.48
 106,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.0,  75.0, 77.1,  9.8,   5.9,  0.3,  0.0,  3.4,  0.0,  2.9,  0.345, 906.0, 11, 20,365,  32840.14,  39973.07
 107,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.0,  75.0, 77.6, 10.3,   6.2,  0.6,  0.0,  3.4,  0.0,  3.0,  0.229, 935.6, 11, 20,365,  33198.27,  40331.39
 108,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.1,  11.0,  75.1, 78.1, 10.2,   6.1,  0.5,  0.0,  3.4,  0.0,  2.9,  0.323, 936.0, 11, 20,365,  33629.13,  40762.47
 109,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.3,  11.1,  75.2, 78.5, 10.6,   6.4,  0.7,  0.0,  3.4,  0.0,  3.0,  0.211, 953.9, 11, 20,365,  33994.57,  41128.19
 110,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.3,  11.1,  75.3, 79.0, 10.4,   6.2,  0.5,  0.0,  3.4,  0.0,  3.0,  0.322,1032.4, 11, 20,365,  34391.52,  41525.26
 111,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.0,  10.8,  75.3, 79.4,  9.8,   5.9,  0.2,  0.0,  3.4,  0.0,  2.9,  0.391,1029.3, 11, 20,365,  34722.33,  41856.28
 112,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.3,  11.1,  75.4, 79.9, 10.7,   6.5,  0.8,  0.0,  3.4,  0.0,  3.0,  0.351, 975.5, 11, 20,365,  34982.16,  42116.16
 113,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.4,  11.3,  75.6, 80.3, 10.7,   6.5,  0.8,  0.0,  3.4,  0.0,  3.0,  0.300, 862.8, 11, 20,365,  35313.98,  42448.07
